site,yr,date,plotid,clean_code2,hits
nutnet,2013,2013-07-30,B2_2,LLSE,8
nutnet,2013,2013-07-30,B2_2,LUSP4,0.25
nutnet,2013,2013-07-30,B2_2,MIOB2,3
nutnet,2013,2013-07-30,B2_2,ORALA,1
nutnet,2013,2013-07-30,B2_2,PRAN,0.25
nutnet,2013,2013-07-30,B2_2,SEDES,3
nutnet,2013,2013-07-30,B2_2,SOSIN,9
nutnet,2013,2013-07-30,B2_2,TEGR3,1
nutnet,2013,2013-07-30,B2_2,VIOLA,1
nutnet,2013,2013-07-30,B2_3,2BARE,1
nutnet,2013,2013-07-30,B2_3,2LTR,9
nutnet,2013,2013-07-30,B2_3,ALGE,3
nutnet,2013,2013-07-30,B2_3,ANAL4,1
nutnet,2013,2013-07-30,B2_3,ARFEF3,7
nutnet,2013,2013-07-30,B2_3,ARSC,2
nutnet,2013,2013-07-30,B2_3,CARUD,14
nutnet,2013,2013-07-30,B2_3,CAUN2,13
nutnet,2013,2013-07-30,B2_3,CEARS2,0.25
nutnet,2013,2013-07-30,B2_3,FEBR,0.25
nutnet,2013,2013-07-30,B2_3,GERO2,11
nutnet,2013,2013-07-30,B2_3,HEMO3,0.25
nutnet,2013,2013-07-30,B2_3,KOMY,67
nutnet,2013,2013-07-30,B2_3,LEPY2,4
nutnet,2013,2013-07-30,B2_3,LLSE,1
nutnet,2013,2013-07-30,B2_3,MIOB2,4
nutnet,2013,2013-07-30,B2_3,ORALA,4
nutnet,2013,2013-07-30,B2_3,POARG,1
nutnet,2013,2013-07-30,B2_3,POVI3,2
nutnet,2013,2013-07-30,B2_3,SEDES,9
nutnet,2013,2013-07-30,B2_3,SELA,9
nutnet,2013,2013-07-30,B2_3,SIACS2,9
nutnet,2013,2013-07-30,B2_3,TEGR3,1
nutnet,2013,2013-07-30,B2_3,TOPY,1
nutnet,2013,2013-07-30,B2_3,TRSP2,2
nutnet,2013,2013-07-30,B2_3,VIOLA,1
nutnet,2013,2013-07-30,B2_4,2BARE,1
nutnet,2013,2013-07-30,B2_4,2LTR,2
nutnet,2013,2013-07-30,B2_4,ALGE,4
nutnet,2013,2013-07-30,B2_4,ANAL4,2
nutnet,2013,2013-07-30,B2_4,ARFEF3,8
nutnet,2013,2013-07-30,B2_4,ARSC,6
nutnet,2013,2013-07-30,B2_4,CARO2,12
nutnet,2013,2013-07-30,B2_4,CARUD,57
nutnet,2013,2013-07-30,B2_4,ERSI3,4
nutnet,2013,2013-07-30,B2_4,FEBR,4
nutnet,2013,2013-07-30,B2_4,GERO2,25
nutnet,2013,2013-07-30,B2_4,KOMY,9
nutnet,2013,2013-07-30,B2_4,LLSE,2
nutnet,2013,2013-07-30,B2_4,LUSP4,1
nutnet,2013,2013-07-30,B2_4,MIOB2,8
nutnet,2013,2013-07-30,B2_4,ORALA,12
nutnet,2013,2013-07-30,B2_4,POARG,1
nutnet,2013,2013-07-30,B2_4,POBI6,2
nutnet,2013,2013-07-30,B2_4,PODI2,1
nutnet,2013,2013-07-30,B2_4,PRAN,3
nutnet,2013,2013-07-30,B2_4,SEDES,6
nutnet,2013,2013-07-30,B2_4,SELA,3
nutnet,2013,2013-07-30,B2_4,SIACS2,1
nutnet,2013,2013-07-30,B2_4,SOSIN,7
nutnet,2013,2013-07-30,B2_4,TEACC,4
nutnet,2013,2013-07-30,B2_4,TEGR3,1
nutnet,2013,2013-07-30,B2_4,VIOLA,5
nutnet,2013,2013-07-30,B2_5,2BARE,2
nutnet,2013,2013-07-30,B2_5,2GRAM,1
nutnet,2013,2013-07-30,B2_5,2LTR,9
nutnet,2013,2013-07-30,B2_5,ALGE,2
nutnet,2013,2013-07-30,B2_5,ARFEF3,6
nutnet,2013,2013-07-30,B2_5,ARSC,1
nutnet,2013,2013-07-30,B2_5,CARUD,3
nutnet,2013,2013-07-30,B2_5,CAUN2,11
nutnet,2013,2013-07-30,B2_5,CEARS2,0.25
nutnet,2013,2013-07-30,B2_5,FEBR,2
nutnet,2013,2013-07-30,B2_5,GERO2,1
